GO.ID	Term	Annotated	Significant	Expected	Fisher
1	GO:0007049	cell cycle	70	2	0.09	0.0027
2	GO:0007059	chromosome segregation	16	1	0.02	0.0190
3	GO:0031399	regulation of protein modification proce...	19	1	0.02	0.0357
4	GO:0051246	regulation of protein metabolic process	28	1	0.03	0.0365
5	GO:0051174	regulation of phosphorus metabolic proce...	21	1	0.03	0.0379
6	GO:0032268	regulation of cellular protein metabolic...	26	1	0.03	0.0384
7	GO:0019220	regulation of phosphate metabolic proces...	21	1	0.03	0.0395
8	GO:0042325	regulation of phosphorylation	18	1	0.02	0.0428
9	GO:0001932	regulation of protein phosphorylation	17	1	0.02	0.0430
10	GO:0022402	cell cycle process	37	1	0.05	0.0436
11	GO:0051321	meiotic cell cycle	3	1	0	0.0526
12	GO:0065009	regulation of molecular function	25	1	0.03	0.0544
13	GO:0022414	reproductive process	46	1	0.06	0.0560
14	GO:0000003	reproduction	46	1	0.06	0.0560
15	GO:0016051	carbohydrate biosynthetic process	50	1	0.06	0.0851
16	GO:0034637	cellular carbohydrate biosynthetic proce...	42	1	0.05	0.0865
17	GO:0009311	oligosaccharide metabolic process	31	1	0.04	0.0866
18	GO:0044262	cellular carbohydrate metabolic process	79	1	0.1	0.0915
19	GO:0051726	regulation of cell cycle	32	1	0.04	0.1045
20	GO:0019222	regulation of metabolic process	643	2	0.8	0.1069
21	GO:0051171	regulation of nitrogen compound metaboli...	612	2	0.76	0.1074
22	GO:0009058	biosynthetic process	1469	3	1.83	0.1300
23	GO:0048285	organelle fission	19	1	0.02	0.1329
24	GO:0060255	regulation of macromolecule metabolic pr...	639	2	0.8	0.1381
25	GO:0080090	regulation of primary metabolic process	612	2	0.76	0.1456
26	GO:0031323	regulation of cellular metabolic process	613	2	0.76	0.1553
27	GO:1901576	organic substance biosynthetic process	1407	3	1.75	0.1585
28	GO:0044249	cellular biosynthetic process	1373	3	1.71	0.2157
29	GO:0034654	nucleobase-containing compound biosynthe...	727	2	0.91	0.2170
30	GO:0019219	regulation of nucleobase-containing comp...	594	2	0.74	0.2432
31	GO:0032774	RNA biosynthetic process	670	2	0.84	0.2642
32	GO:0071840	cellular component organization or bioge...	250	1	0.31	0.2657
33	GO:0050794	regulation of cellular process	852	2	1.06	0.2684
34	GO:0010468	regulation of gene expression	622	2	0.78	0.2753
35	GO:0046351	disaccharide biosynthetic process	16	1	0.02	0.2807
36	GO:0010556	regulation of macromolecule biosynthetic...	593	2	0.74	0.2831
37	GO:0051179	localization	855	2	1.07	0.2898
38	GO:0090304	nucleic acid metabolic process	1050	2	1.31	0.3044
39	GO:0050789	regulation of biological process	886	2	1.1	0.3053
40	GO:0065007	biological regulation	907	2	1.13	0.3158
41	GO:0005984	disaccharide metabolic process	27	1	0.03	0.3253
42	GO:0009312	oligosaccharide biosynthetic process	20	1	0.02	0.3279
43	GO:0097659	nucleic acid-templated transcription	670	2	0.84	0.3288
44	GO:0044237	cellular metabolic process	3106	4	3.87	0.3352
45	GO:0009889	regulation of biosynthetic process	593	2	0.74	0.3381
46	GO:0005975	carbohydrate metabolic process	358	1	0.45	0.3398
47	GO:0098813	nuclear chromosome segregation	13	1	0.02	0.3421
48	GO:0043412	macromolecule modification	1090	2	1.36	0.3505
49	GO:0036211	protein modification process	1050	2	1.31	0.3760
50	GO:0051252	regulation of RNA metabolic process	587	2	0.73	0.3881
51	GO:0006811	ion transport	184	1	0.23	0.3883
52	GO:0031326	regulation of cellular biosynthetic proc...	593	2	0.74	0.3893
53	GO:0010467	gene expression	1168	2	1.46	0.3920
54	GO:0019438	aromatic compound biosynthetic process	782	2	0.98	0.4004
55	GO:0018130	heterocycle biosynthetic process	783	2	0.98	0.4037
56	GO:0006139	nucleobase-containing compound metabolic...	1183	2	1.48	0.4114
57	GO:0006793	phosphorus metabolic process	1053	2	1.31	0.4175
58	GO:1901362	organic cyclic compound biosynthetic pro...	824	2	1.03	0.4260
59	GO:0009059	macromolecule biosynthetic process	1068	2	1.33	0.4341
60	GO:1904029	regulation of cyclin-dependent protein k...	14	1	0.02	0.4375
61	GO:1901360	organic cyclic compound metabolic proces...	1294	2	1.61	0.4487
62	GO:0044238	primary metabolic process	3446	4	4.3	0.4739
63	GO:0006468	protein phosphorylation	780	2	0.97	0.5035
64	GO:0046483	heterocycle metabolic process	1254	2	1.56	0.5313
65	GO:0006725	cellular aromatic compound metabolic pro...	1262	2	1.57	0.5357
66	GO:0006464	cellular protein modification process	1050	2	1.31	0.5390
67	GO:0005991	trehalose metabolic process	15	1	0.02	0.5556
68	GO:0044267	cellular protein metabolic process	1430	2	1.78	0.5693
69	GO:0071704	organic substance metabolic process	3629	4	4.52	0.5829
