GO.ID	Term	Annotated	Significant	Expected	Fisher
1	GO:0098687	chromosomal region	4	1	0	0.0049
2	GO:0005694	chromosome	60	1	0.07	0.1531
3	GO:0043228	non-membrane-bounded organelle	392	1	0.47	0.3817
4	GO:0043232	intracellular non-membrane-bounded organ...	392	1	0.47	0.3824
5	GO:0005622	intracellular anatomical structure	1332	2	1.6	0.5680
6	GO:0043231	intracellular membrane-bounded organelle	669	1	0.8	0.6514
7	GO:0043227	membrane-bounded organelle	671	1	0.8	0.6534
8	GO:0005634	nucleus	450	1	0.54	0.6726
9	GO:0043226	organelle	1027	1	1.23	0.8056
10	GO:0016020	membrane	1258	1	1.51	0.8862
11	GO:0110165	cellular anatomical entity	2442	3	2.93	0.9309
12	GO:0043229	intracellular organelle	1025	1	1.23	0.9465
13	GO:0005575	cellular_component	2501	3	3	1.0000
14	GO:0000775	chromosome, centromeric region	4	1	0	1.0000
15	GO:0000015	phosphopyruvate hydratase complex	5	0	0.01	1.0000
16	GO:0000123	histone acetyltransferase complex	13	0	0.02	1.0000
17	GO:0000139	Golgi membrane	10	0	0.01	1.0000
18	GO:0000145	exocyst	19	0	0.02	1.0000
19	GO:0000148	1,3-beta-D-glucan synthase complex	9	0	0.01	1.0000
20	GO:0000151	ubiquitin ligase complex	8	0	0.01	1.0000
21	GO:0000152	nuclear ubiquitin ligase complex	7	0	0.01	1.0000
22	GO:0000159	protein phosphatase type 2A complex	12	0	0.01	1.0000
23	GO:0000178	exosome (RNase complex)	4	0	0	1.0000
24	GO:0000228	nuclear chromosome	16	0	0.02	1.0000
25	GO:0000276	mitochondrial proton-transporting ATP sy...	3	0	0	1.0000
26	GO:0000428	DNA-directed RNA polymerase complex	18	0	0.02	1.0000
27	GO:0000439	transcription factor TFIIH core complex	7	0	0.01	1.0000
28	GO:0000502	proteasome complex	25	0	0.03	1.0000
29	GO:0000785	chromatin	32	0	0.04	1.0000
30	GO:0000786	nucleosome	23	0	0.03	1.0000
31	GO:0000793	condensed chromosome	9	0	0.01	1.0000
32	GO:0000794	condensed nuclear chromosome	3	0	0	1.0000
33	GO:0000796	condensin complex	4	0	0	1.0000
34	GO:0000922	spindle pole	6	0	0.01	1.0000
35	GO:0005576	extracellular region	29	0	0.03	1.0000
36	GO:0005615	extracellular space	6	0	0.01	1.0000
37	GO:0005618	cell wall	30	0	0.04	1.0000
38	GO:0005635	nuclear envelope	13	0	0.02	1.0000
39	GO:0005643	nuclear pore	13	0	0.02	1.0000
40	GO:0005654	nucleoplasm	29	0	0.03	1.0000
