GO.ID	Term	Annotated	Significant	Expected	Fisher
1	GO:0016769	transferase activity, transferring nitro...	12	1	0.02	0.020
2	GO:0019899	enzyme binding	20	1	0.04	0.062
3	GO:0070279	vitamin B6 binding	49	1	0.09	0.086
4	GO:0030170	pyridoxal phosphate binding	49	1	0.09	0.101
5	GO:0019842	vitamin binding	61	1	0.11	0.116
6	GO:0005488	binding	4719	11	8.76	0.182
7	GO:0008092	cytoskeletal protein binding	80	1	0.15	0.230
8	GO:0003779	actin binding	19	1	0.04	0.238
9	GO:0043531	ADP binding	122	1	0.23	0.238
10	GO:0016746	acyltransferase activity	165	1	0.31	0.255
11	GO:0043565	sequence-specific DNA binding	178	1	0.33	0.266
12	GO:0043167	ion binding	2358	7	4.38	0.273
13	GO:0005515	protein binding	1574	5	2.92	0.289
14	GO:0046983	protein dimerization activity	108	1	0.2	0.299
15	GO:0003723	RNA binding	215	1	0.4	0.325
16	GO:0016740	transferase activity	1769	3	3.28	0.337
17	GO:0043169	cation binding	1005	4	1.87	0.342
18	GO:0140110	transcription regulator activity	286	1	0.53	0.418
19	GO:0008270	zinc ion binding	483	2	0.9	0.491
20	GO:0004672	protein kinase activity	776	1	1.44	0.529
21	GO:0005215	transporter activity	462	1	0.86	0.587
22	GO:0019900	kinase binding	14	1	0.03	0.700
23	GO:0003676	nucleic acid binding	1204	2	2.24	0.726
24	GO:0036094	small molecule binding	1519	3	2.82	0.741
25	GO:0016747	acyltransferase activity, transferring g...	128	1	0.24	0.776
26	GO:0032559	adenyl ribonucleotide binding	1148	2	2.13	0.785
27	GO:0030554	adenyl nucleotide binding	1152	2	2.14	0.785
28	GO:0003677	DNA binding	668	1	1.24	0.802
29	GO:0032553	ribonucleotide binding	1306	2	2.42	0.811
30	GO:0017076	purine nucleotide binding	1300	2	2.41	0.818
31	GO:1901265	nucleoside phosphate binding	1437	2	2.67	0.840
32	GO:0140096	catalytic activity, acting on a protein	1335	1	2.48	0.844
33	GO:0097367	carbohydrate derivative binding	1320	2	2.45	0.858
34	GO:0016773	phosphotransferase activity, alcohol gro...	874	1	1.62	0.859
35	GO:0016301	kinase activity	877	1	1.63	0.862
36	GO:1901363	heterocyclic compound binding	2748	5	5.1	0.878
37	GO:0097159	organic cyclic compound binding	2748	5	5.1	0.878
38	GO:0043168	anion binding	1407	3	2.61	0.901
39	GO:0046914	transition metal ion binding	689	2	1.28	0.913
40	GO:0016772	transferase activity, transferring phosp...	1017	1	1.89	0.923
41	GO:0003700	DNA-binding transcription factor activit...	266	1	0.49	0.930
42	GO:0046872	metal ion binding	992	4	1.84	0.949
43	GO:0005524	ATP binding	1022	1	1.9	0.956
44	GO:0003824	catalytic activity	4301	5	7.98	0.965
45	GO:0032555	purine ribonucleotide binding	1292	2	2.4	0.967
46	GO:0035639	purine ribonucleoside triphosphate bindi...	1166	1	2.16	0.989
47	GO:0000166	nucleotide binding	1437	2	2.67	0.992
48	GO:0019901	protein kinase binding	14	1	0.03	1.000
49	GO:0008483	transaminase activity	12	1	0.02	1.000
50	GO:0003674	molecular_function	8080	15	15	1.000
51	GO:0000049	tRNA binding	7	0	0.01	1.000
52	GO:0000062	fatty-acyl-CoA binding	5	0	0.01	1.000
53	GO:0000155	phosphorelay sensor kinase activity	10	0	0.02	1.000
54	GO:0000287	magnesium ion binding	67	0	0.12	1.000
55	GO:0000295	adenine nucleotide transmembrane transpo...	3	0	0.01	1.000
56	GO:0000774	adenyl-nucleotide exchange factor activi...	4	0	0.01	1.000
57	GO:0001882	nucleoside binding	5	0	0.01	1.000
58	GO:0002161	aminoacyl-tRNA editing activity	5	0	0.01	1.000
59	GO:0003678	DNA helicase activity	23	0	0.04	1.000
60	GO:0003682	chromatin binding	15	0	0.03	1.000
61	GO:0003684	damaged DNA binding	12	0	0.02	1.000
62	GO:0003690	double-stranded DNA binding	38	0	0.07	1.000
63	GO:0003697	single-stranded DNA binding	12	0	0.02	1.000
64	GO:0003712	transcription coregulator activity	20	0	0.04	1.000
65	GO:0003729	mRNA binding	6	0	0.01	1.000
66	GO:0003735	structural constituent of ribosome	219	0	0.41	1.000
67	GO:0003743	translation initiation factor activity	28	0	0.05	1.000
68	GO:0003746	translation elongation factor activity	11	0	0.02	1.000
69	GO:0003747	translation release factor activity	7	0	0.01	1.000
70	GO:0003755	peptidyl-prolyl cis-trans isomerase acti...	27	0	0.05	1.000
71	GO:0003756	protein disulfide isomerase activity	3	0	0.01	1.000
72	GO:0003774	cytoskeletal motor activity	58	0	0.11	1.000
73	GO:0003777	microtubule motor activity	48	0	0.09	1.000
74	GO:0003830	beta-1,4-mannosylglycoprotein 4-beta-N-a...	3	0	0.01	1.000
75	GO:0003843	1,3-beta-D-glucan synthase activity	9	0	0.02	1.000
76	GO:0003849	3-deoxy-7-phosphoheptulonate synthase ac...	4	0	0.01	1.000
77	GO:0003854	3-beta-hydroxy-delta5-steroid dehydrogen...	22	0	0.04	1.000
78	GO:0003857	3-hydroxyacyl-CoA dehydrogenase activity	4	0	0.01	1.000
79	GO:0003872	6-phosphofructokinase activity	12	0	0.02	1.000
80	GO:0003876	AMP deaminase activity	3	0	0.01	1.000
81	GO:0003883	CTP synthase activity	6	0	0.01	1.000
82	GO:0003885	D-arabinono-1,4-lactone oxidase activity	5	0	0.01	1.000
83	GO:0003887	DNA-directed DNA polymerase activity	10	0	0.02	1.000
84	GO:0003899	DNA-directed 5'-3' RNA polymerase activi...	39	0	0.07	1.000
85	GO:0003905	alkylbase DNA N-glycosylase activity	7	0	0.01	1.000
86	GO:0003909	DNA ligase activity	3	0	0.01	1.000
87	GO:0003910	DNA ligase (ATP) activity	3	0	0.01	1.000
88	GO:0003916	DNA topoisomerase activity	8	0	0.01	1.000
89	GO:0003917	DNA topoisomerase type I (single strand ...	5	0	0.01	1.000
90	GO:0003918	DNA topoisomerase type II (double strand...	3	0	0.01	1.000
91	GO:0003924	GTPase activity	39	0	0.07	1.000
92	GO:0003933	GTP cyclohydrolase activity	4	0	0.01	1.000
93	GO:0003935	GTP cyclohydrolase II activity	3	0	0.01	1.000
94	GO:0003950	NAD+ ADP-ribosyltransferase activity	6	0	0.01	1.000
95	GO:0003951	NAD+ kinase activity	4	0	0.01	1.000
96	GO:0003954	NADH dehydrogenase activity	4	0	0.01	1.000
97	GO:0003955	NAD(P)H dehydrogenase (quinone) activity	4	0	0.01	1.000
98	GO:0003968	RNA-directed 5'-3' RNA polymerase activi...	3	0	0.01	1.000
99	GO:0003993	acid phosphatase activity	7	0	0.01	1.000
100	GO:0003995	acyl-CoA dehydrogenase activity	6	0	0.01	1.000
101	GO:0003997	acyl-CoA oxidase activity	3	0	0.01	1.000
102	GO:0004014	adenosylmethionine decarboxylase activit...	3	0	0.01	1.000
103	GO:0004045	aminoacyl-tRNA hydrolase activity	8	0	0.01	1.000
104	GO:0004066	asparagine synthase (glutamine-hydrolyzi...	4	0	0.01	1.000
105	GO:0004096	catalase activity	3	0	0.01	1.000
106	GO:0004097	catechol oxidase activity	3	0	0.01	1.000
107	GO:0004106	chorismate mutase activity	4	0	0.01	1.000
108	GO:0004129	cytochrome-c oxidase activity	6	0	0.01	1.000
109	GO:0004143	diacylglycerol kinase activity	7	0	0.01	1.000
110	GO:0004144	diacylglycerol O-acyltransferase activit...	4	0	0.01	1.000
111	GO:0004175	endopeptidase activity	152	0	0.28	1.000
112	GO:0004176	ATP-dependent peptidase activity	7	0	0.01	1.000
113	GO:0004177	aminopeptidase activity	7	0	0.01	1.000
114	GO:0004180	carboxypeptidase activity	39	0	0.07	1.000
115	GO:0004185	serine-type carboxypeptidase activity	38	0	0.07	1.000
116	GO:0004190	aspartic-type endopeptidase activity	50	0	0.09	1.000
117	GO:0004197	cysteine-type endopeptidase activity	12	0	0.02	1.000
118	GO:0004222	metalloendopeptidase activity	24	0	0.04	1.000
119	GO:0004252	serine-type endopeptidase activity	46	0	0.09	1.000
120	GO:0004298	threonine-type endopeptidase activity	20	0	0.04	1.000
121	GO:0004326	tetrahydrofolylpolyglutamate synthase ac...	3	0	0.01	1.000
122	GO:0004332	fructose-bisphosphate aldolase activity	4	0	0.01	1.000
123	GO:0004345	glucose-6-phosphate dehydrogenase activi...	5	0	0.01	1.000
124	GO:0004356	glutamate-ammonia ligase activity	5	0	0.01	1.000
125	GO:0004363	glutathione synthase activity	3	0	0.01	1.000
126	GO:0004367	glycerol-3-phosphate dehydrogenase [NAD+...	5	0	0.01	1.000
127	GO:0004386	helicase activity	40	0	0.07	1.000
128	GO:0004396	hexokinase activity	6	0	0.01	1.000
129	GO:0004402	histone acetyltransferase activity	9	0	0.02	1.000
130	GO:0004420	hydroxymethylglutaryl-CoA reductase (NAD...	3	0	0.01	1.000
131	GO:0004425	indole-3-glycerol-phosphate synthase act...	3	0	0.01	1.000
132	GO:0004427	inorganic diphosphatase activity	8	0	0.01	1.000
133	GO:0004435	phosphatidylinositol phospholipase C act...	4	0	0.01	1.000
134	GO:0004448	isocitrate dehydrogenase activity	3	0	0.01	1.000
135	GO:0004450	isocitrate dehydrogenase (NADP+) activit...	3	0	0.01	1.000
136	GO:0004470	malic enzyme activity	4	0	0.01	1.000
137	GO:0004471	malate dehydrogenase (decarboxylating) (...	4	0	0.01	1.000
138	GO:0004478	methionine adenosyltransferase activity	3	0	0.01	1.000
139	GO:0004486	methylenetetrahydrofolate dehydrogenase ...	3	0	0.01	1.000
140	GO:0004488	methylenetetrahydrofolate dehydrogenase ...	3	0	0.01	1.000
141	GO:0004497	monooxygenase activity	15	0	0.03	1.000
142	GO:0004499	N,N-dimethylaniline monooxygenase activi...	4	0	0.01	1.000
143	GO:0004518	nuclease activity	63	0	0.12	1.000
144	GO:0004519	endonuclease activity	30	0	0.06	1.000
145	GO:0004521	endoribonuclease activity	13	0	0.02	1.000
146	GO:0004525	ribonuclease III activity	7	0	0.01	1.000
147	GO:0004527	exonuclease activity	17	0	0.03	1.000
148	GO:0004536	deoxyribonuclease activity	4	0	0.01	1.000
149	GO:0004540	ribonuclease activity	17	0	0.03	1.000
150	GO:0004550	nucleoside diphosphate kinase activity	5	0	0.01	1.000
151	GO:0004553	hydrolase activity, hydrolyzing O-glycos...	216	0	0.4	1.000
152	GO:0004556	alpha-amylase activity	3	0	0.01	1.000
153	GO:0004559	alpha-mannosidase activity	7	0	0.01	1.000
154	GO:0004564	beta-fructofuranosidase activity	3	0	0.01	1.000
155	GO:0004568	chitinase activity	10	0	0.02	1.000
156	GO:0004571	mannosyl-oligosaccharide 1,2-alpha-manno...	4	0	0.01	1.000
157	GO:0004575	sucrose alpha-glucosidase activity	3	0	0.01	1.000
158	GO:0004576	oligosaccharyl transferase activity	6	0	0.01	1.000
159	GO:0004579	dolichyl-diphosphooligosaccharide-protei...	3	0	0.01	1.000
160	GO:0004601	peroxidase activity	80	0	0.15	1.000
161	GO:0004602	glutathione peroxidase activity	5	0	0.01	1.000
162	GO:0004611	phosphoenolpyruvate carboxykinase activi...	6	0	0.01	1.000
163	GO:0004616	phosphogluconate dehydrogenase (decarbox...	6	0	0.01	1.000
164	GO:0004618	phosphoglycerate kinase activity	3	0	0.01	1.000
165	GO:0004619	phosphoglycerate mutase activity	4	0	0.01	1.000
166	GO:0004620	phospholipase activity	8	0	0.01	1.000
167	GO:0004623	phospholipase A2 activity	4	0	0.01	1.000
168	GO:0004629	phospholipase C activity	4	0	0.01	1.000
169	GO:0004634	phosphopyruvate hydratase activity	5	0	0.01	1.000
170	GO:0004645	1,4-alpha-oligoglucan phosphorylase acti...	6	0	0.01	1.000
171	GO:0004650	polygalacturonase activity	11	0	0.02	1.000
172	GO:0004652	polynucleotide adenylyltransferase activ...	5	0	0.01	1.000
173	GO:0004659	prenyltransferase activity	9	0	0.02	1.000
174	GO:0004664	prephenate dehydratase activity	5	0	0.01	1.000
175	GO:0004673	protein histidine kinase activity	10	0	0.02	1.000
176	GO:0004674	protein serine/threonine kinase activity	12	0	0.02	1.000
177	GO:0004721	phosphoprotein phosphatase activity	83	0	0.15	1.000
178	GO:0004722	protein serine/threonine phosphatase act...	64	0	0.12	1.000
179	GO:0004725	protein tyrosine phosphatase activity	3	0	0.01	1.000
180	GO:0004743	pyruvate kinase activity	8	0	0.01	1.000
181	GO:0004809	tRNA (guanine-N2-)-methyltransferase act...	5	0	0.01	1.000
182	GO:0004812	aminoacyl-tRNA ligase activity	44	0	0.08	1.000
183	GO:0004813	alanine-tRNA ligase activity	3	0	0.01	1.000
184	GO:0004828	serine-tRNA ligase activity	3	0	0.01	1.000
185	GO:0004832	valine-tRNA ligase activity	3	0	0.01	1.000
186	GO:0004834	tryptophan synthase activity	6	0	0.01	1.000
187	GO:0004842	ubiquitin-protein transferase activity	67	0	0.12	1.000
188	GO:0004843	cysteine-type deubiquitinase activity	6	0	0.01	1.000
189	GO:0004857	enzyme inhibitor activity	34	0	0.06	1.000
190	GO:0004860	protein kinase inhibitor activity	5	0	0.01	1.000
191	GO:0004861	cyclin-dependent protein serine/threonin...	5	0	0.01	1.000
192	GO:0004866	endopeptidase inhibitor activity	11	0	0.02	1.000
193	GO:0004867	serine-type endopeptidase inhibitor acti...	6	0	0.01	1.000
194	GO:0004869	cysteine-type endopeptidase inhibitor ac...	5	0	0.01	1.000
195	GO:0004888	transmembrane signaling receptor activit...	11	0	0.02	1.000
196	GO:0004970	ionotropic glutamate receptor activity	10	0	0.02	1.000
197	GO:0005048	signal sequence binding	4	0	0.01	1.000
198	GO:0005092	GDP-dissociation inhibitor activity	3	0	0.01	1.000
199	GO:0005094	Rho GDP-dissociation inhibitor activity	3	0	0.01	1.000
200	GO:0005096	GTPase activator activity	14	0	0.03	1.000
201	GO:0005102	signaling receptor binding	3	0	0.01	1.000
202	GO:0005198	structural molecule activity	234	0	0.43	1.000
203	GO:0005216	ion channel activity	47	0	0.09	1.000
204	GO:0005230	extracellular ligand-gated ion channel a...	10	0	0.02	1.000
205	GO:0005244	voltage-gated ion channel activity	11	0	0.02	1.000
206	GO:0005247	voltage-gated chloride channel activity	10	0	0.02	1.000
207	GO:0005253	anion channel activity	11	0	0.02	1.000
208	GO:0005254	chloride channel activity	10	0	0.02	1.000
209	GO:0005261	cation channel activity	11	0	0.02	1.000
210	GO:0005319	lipid transporter activity	6	0	0.01	1.000
211	GO:0005342	organic acid transmembrane transporter a...	15	0	0.03	1.000
212	GO:0005346	purine ribonucleotide transmembrane tran...	3	0	0.01	1.000
213	GO:0005347	ATP transmembrane transporter activity	3	0	0.01	1.000
214	GO:0005351	carbohydrate:proton symporter activity	6	0	0.01	1.000
215	GO:0005402	carbohydrate:cation symporter activity	6	0	0.01	1.000
216	GO:0005452	inorganic anion exchanger activity	4	0	0.01	1.000
217	GO:0005471	ATP:ADP antiporter activity	3	0	0.01	1.000
218	GO:0005506	iron ion binding	157	0	0.29	1.000
219	GO:0005507	copper ion binding	31	0	0.06	1.000
220	GO:0005509	calcium ion binding	72	0	0.13	1.000
221	GO:0005516	calmodulin binding	19	0	0.04	1.000
222	GO:0005525	GTP binding	144	0	0.27	1.000
223	GO:0005536	glucose binding	6	0	0.01	1.000
224	GO:0005543	phospholipid binding	25	0	0.05	1.000
225	GO:0005544	calcium-dependent phospholipid binding	8	0	0.01	1.000
226	GO:0008017	microtubule binding	60	0	0.11	1.000
227	GO:0008047	enzyme activator activity	15	0	0.03	1.000
228	GO:0008061	chitin binding	5	0	0.01	1.000
229	GO:0008066	glutamate receptor activity	10	0	0.02	1.000
230	GO:0008079	translation termination factor activity	7	0	0.01	1.000
231	GO:0008080	N-acetyltransferase activity	32	0	0.06	1.000
232	GO:0008081	phosphoric diester hydrolase activity	19	0	0.04	1.000
233	GO:0008083	growth factor activity	3	0	0.01	1.000
234	GO:0008094	ATP-dependent activity, acting on DNA	27	0	0.05	1.000
235	GO:0008097	5S rRNA binding	3	0	0.01	1.000
236	GO:0008107	galactoside 2-alpha-L-fucosyltransferase...	5	0	0.01	1.000
237	GO:0008113	peptide-methionine (S)-S-oxide reductase...	3	0	0.01	1.000
238	GO:0008121	ubiquinol-cytochrome-c reductase activit...	3	0	0.01	1.000
239	GO:0008131	primary amine oxidase activity	3	0	0.01	1.000
240	GO:0008135	translation factor activity, RNA binding	46	0	0.09	1.000
241	GO:0008137	NADH dehydrogenase (ubiquinone) activity	4	0	0.01	1.000
242	GO:0008138	protein tyrosine/serine/threonine phosph...	15	0	0.03	1.000
243	GO:0008168	methyltransferase activity	151	0	0.28	1.000
244	GO:0008170	N-methyltransferase activity	19	0	0.04	1.000
245	GO:0008171	O-methyltransferase activity	19	0	0.04	1.000
246	GO:0008173	RNA methyltransferase activity	20	0	0.04	1.000
247	GO:0008175	tRNA methyltransferase activity	8	0	0.01	1.000
248	GO:0008192	RNA guanylyltransferase activity	3	0	0.01	1.000
