GO.ID	Term	Annotated	Significant	Expected	Fisher
1	GO:0046906	tetrapyrrole binding	197	7	1.95	0.00043
2	GO:0051540	metal cluster binding	51	4	0.5	0.00061
3	GO:0016491	oxidoreductase activity	824	18	8.16	0.00167
4	GO:0008374	O-acyltransferase activity	18	3	0.18	0.00239
5	GO:0005506	iron ion binding	157	6	1.55	0.00239
6	GO:0005215	transporter activity	462	11	4.57	0.00554
7	GO:0008233	peptidase activity	277	6	2.74	0.02691
8	GO:0003756	protein disulfide isomerase activity	3	1	0.03	0.03336
9	GO:0043169	cation binding	1005	13	9.95	0.03615
10	GO:0008312	7S RNA binding	8	1	0.08	0.03721
11	GO:0004096	catalase activity	3	1	0.03	0.07405
12	GO:0008234	cysteine-type peptidase activity	51	3	0.5	0.07816
13	GO:0015103	inorganic anion transmembrane transporte...	29	2	0.29	0.08485
14	GO:0008509	anion transmembrane transporter activity	32	2	0.32	0.08832
15	GO:0050661	NADP binding	16	1	0.16	0.09612
16	GO:0016860	intramolecular oxidoreductase activity	14	1	0.14	0.12613
17	GO:0016746	acyltransferase activity	165	3	1.63	0.13521
18	GO:0004177	aminopeptidase activity	7	1	0.07	0.14000
19	GO:0005244	voltage-gated ion channel activity	11	1	0.11	0.17986
20	GO:0016705	oxidoreductase activity, acting on paire...	141	5	1.4	0.18009
21	GO:0008138	protein tyrosine/serine/threonine phosph...	15	1	0.15	0.18072
22	GO:0003824	catalytic activity	4301	47	42.58	0.18914
23	GO:0046527	glucosyltransferase activity	50	1	0.5	0.19763
24	GO:0016765	transferase activity, transferring alkyl...	29	1	0.29	0.20727
25	GO:0016864	intramolecular oxidoreductase activity, ...	3	1	0.03	0.21429
26	GO:1901682	sulfur compound transmembrane transporte...	9	1	0.09	0.21738
27	GO:0016209	antioxidant activity	89	2	0.88	0.22016
28	GO:0051287	NAD binding	41	1	0.41	0.22992
29	GO:0016759	cellulose synthase activity	12	1	0.12	0.24000
30	GO:0005509	calcium ion binding	72	2	0.71	0.24217
31	GO:0008271	secondary active sulfate transmembrane t...	9	1	0.09	0.26835
32	GO:0016671	oxidoreductase activity, acting on a sul...	10	1	0.1	0.27067
33	GO:0016810	hydrolase activity, acting on carbon-nit...	34	1	0.34	0.27322
34	GO:0033764	steroid dehydrogenase activity, acting o...	22	1	0.22	0.27848
35	GO:0004197	cysteine-type endopeptidase activity	12	1	0.12	0.27964
36	GO:0035251	UDP-glucosyltransferase activity	32	1	0.32	0.28571
37	GO:0008194	UDP-glycosyltransferase activity	94	1	0.93	0.31023
38	GO:0005253	anion channel activity	11	1	0.11	0.31202
39	GO:0015291	secondary active transmembrane transport...	72	3	0.71	0.33742
40	GO:0008092	cytoskeletal protein binding	80	1	0.79	0.34181
41	GO:0004298	threonine-type endopeptidase activity	20	1	0.2	0.34705
42	GO:0016835	carbon-oxygen lyase activity	39	1	0.39	0.35135
43	GO:0003777	microtubule motor activity	48	1	0.48	0.35934
44	GO:0042626	ATPase-coupled transmembrane transporter...	50	1	0.5	0.36323
45	GO:0070003	threonine-type peptidase activity	20	1	0.2	0.36487
46	GO:0016741	transferase activity, transferring one-c...	160	2	1.58	0.36583
47	GO:0043167	ion binding	2358	20	23.35	0.36945
48	GO:0016903	oxidoreductase activity, acting on the a...	21	1	0.21	0.37475
49	GO:0051213	dioxygenase activity	21	1	0.21	0.37475
50	GO:0016760	cellulose synthase (UDP-forming) activit...	12	1	0.12	0.37500
51	GO:0016229	steroid dehydrogenase activity	22	1	0.22	0.38877
52	GO:0022857	transmembrane transporter activity	339	9	3.36	0.40395
53	GO:0005198	structural molecule activity	234	3	2.32	0.41003
54	GO:0016701	oxidoreductase activity, acting on singl...	24	1	0.24	0.41592
55	GO:0015079	potassium ion transmembrane transporter ...	23	1	0.23	0.41818
56	GO:0042578	phosphoric ester hydrolase activity	128	1	1.27	0.42953
57	GO:0003774	cytoskeletal motor activity	58	1	0.57	0.43964
58	GO:0016667	oxidoreductase activity, acting on a sul...	69	2	0.68	0.45363
59	GO:0015035	protein-disulfide reductase activity	54	1	0.53	0.46350
60	GO:0016747	acyltransferase activity, transferring g...	128	3	1.27	0.46438
61	GO:0016773	phosphotransferase activity, alcohol gro...	874	5	8.65	0.46801
62	GO:0022836	gated channel activity	22	1	0.22	0.46809
63	GO:0015298	solute:cation antiporter activity	14	1	0.14	0.46983
64	GO:0016301	kinase activity	877	5	8.68	0.47611
65	GO:0022832	voltage-gated channel activity	11	1	0.11	0.50000
66	GO:0140096	catalytic activity, acting on a protein	1335	15	13.22	0.50326
67	GO:0140101	catalytic activity, acting on a tRNA	74	1	0.73	0.50340
68	GO:0030246	carbohydrate binding	93	1	0.92	0.52256
69	GO:0019787	ubiquitin-like protein transferase activ...	72	1	0.71	0.53155
70	GO:0015116	sulfate transmembrane transporter activi...	9	1	0.09	0.53202
71	GO:0046873	metal ion transmembrane transporter acti...	55	1	0.54	0.53922
72	GO:0016684	oxidoreductase activity, acting on perox...	81	2	0.8	0.54239
73	GO:0022804	active transmembrane transporter activit...	139	4	1.38	0.54347
74	GO:0009055	electron transfer activity	82	2	0.81	0.54937
75	GO:0005524	ATP binding	1022	6	10.12	0.55188
76	GO:0016411	acylglycerol O-acyltransferase activity	4	1	0.04	0.55392
77	GO:0032561	guanyl ribonucleotide binding	144	1	1.43	0.56243
78	GO:0019001	guanyl nucleotide binding	148	1	1.47	0.57179
79	GO:0015108	chloride transmembrane transporter activ...	10	1	0.1	0.57882
80	GO:0005525	GTP binding	144	1	1.43	0.60358
81	GO:0000166	nucleotide binding	1437	9	14.23	0.60604
82	GO:0005216	ion channel activity	47	1	0.47	0.61367
83	GO:0004721	phosphoprotein phosphatase activity	83	1	0.82	0.61452
84	GO:0003677	DNA binding	668	4	6.61	0.61877
85	GO:1901363	heterocyclic compound binding	2748	21	27.21	0.63960
86	GO:0097159	organic cyclic compound binding	2748	21	27.21	0.63960
87	GO:0022853	active ion transmembrane transporter act...	43	1	0.43	0.65210
88	GO:0140098	catalytic activity, acting on RNA	147	1	1.46	0.65333
89	GO:0016836	hydro-lyase activity	26	1	0.26	0.66667
90	GO:0016702	oxidoreductase activity, acting on singl...	18	1	0.18	0.66667
91	GO:0140657	ATP-dependent activity	231	2	2.29	0.67197
92	GO:0035639	purine ribonucleoside triphosphate bindi...	1166	7	11.54	0.68282
93	GO:0016887	ATP hydrolysis activity	120	1	1.19	0.69228
94	GO:0008238	exopeptidase activity	50	1	0.5	0.70076
95	GO:0070001	aspartic-type peptidase activity	50	1	0.5	0.70076
96	GO:0004190	aspartic-type endopeptidase activity	50	1	0.5	0.70077
97	GO:0016829	lyase activity	111	1	1.1	0.70934
98	GO:0016853	isomerase activity	111	1	1.1	0.70934
99	GO:0043565	sequence-specific DNA binding	178	1	1.76	0.71143
100	GO:0016620	oxidoreductase activity, acting on the a...	15	1	0.15	0.71429
101	GO:0022803	passive transmembrane transporter activi...	47	1	0.47	0.74350
102	GO:0004175	endopeptidase activity	152	3	1.5	0.74490
103	GO:0003723	RNA binding	215	1	2.13	0.74862
104	GO:0015631	tubulin binding	61	1	0.6	0.76250
105	GO:0016787	hydrolase activity	1194	11	11.82	0.79581
106	GO:0016791	phosphatase activity	103	1	1.02	0.80469
107	GO:0004601	peroxidase activity	80	2	0.79	0.80695
108	GO:0032559	adenyl ribonucleotide binding	1148	6	11.37	0.81440
109	GO:0015297	antiporter activity	52	2	0.51	0.81522
110	GO:0030554	adenyl nucleotide binding	1152	6	11.41	0.81532
111	GO:0046914	transition metal ion binding	689	8	6.82	0.82463
112	GO:0016616	oxidoreductase activity, acting on the C...	79	1	0.78	0.83158
113	GO:0016758	hexosyltransferase activity	253	1	2.5	0.83498
114	GO:0016817	hydrolase activity, acting on acid anhyd...	181	1	1.79	0.83742
115	GO:0046872	metal ion binding	992	13	9.82	0.84343
116	GO:1901265	nucleoside phosphate binding	1437	9	14.23	0.86176
117	GO:0015318	inorganic molecular entity transmembrane...	157	3	1.55	0.87155
118	GO:0003676	nucleic acid binding	1204	7	11.92	0.88459
119	GO:0036094	small molecule binding	1519	9	15.04	0.88812
120	GO:0032555	purine ribonucleotide binding	1292	7	12.79	0.88828
121	GO:0008168	methyltransferase activity	151	2	1.5	0.89033
122	GO:0016614	oxidoreductase activity, acting on CH-OH...	95	1	0.94	0.89242
123	GO:0005254	chloride channel activity	10	1	0.1	0.90909
124	GO:0005247	voltage-gated chloride channel activity	10	1	0.1	0.90909
125	GO:0016798	hydrolase activity, acting on glycosyl b...	235	1	2.33	0.91128
126	GO:0004553	hydrolase activity, hydrolyzing O-glycos...	216	1	2.14	0.91915
127	GO:0140640	catalytic activity, acting on a nucleic ...	225	1	2.23	0.92108
128	GO:0015075	ion transmembrane transporter activity	173	3	1.71	0.92270
129	GO:0097367	carbohydrate derivative binding	1320	7	13.07	0.92657
130	GO:0016757	glycosyltransferase activity	303	1	3	0.92871
131	GO:0003700	DNA-binding transcription factor activit...	266	1	2.63	0.93007
132	GO:0004842	ubiquitin-protein transferase activity	67	1	0.66	0.93056
133	GO:0015399	primary active transmembrane transporter...	67	1	0.66	0.93091
134	GO:0022890	inorganic cation transmembrane transport...	102	1	1.01	0.93601
135	GO:0016462	pyrophosphatase activity	167	1	1.65	0.93820
136	GO:0140110	transcription regulator activity	286	1	2.83	0.94484
137	GO:0032553	ribonucleotide binding	1306	7	12.93	0.94850
138	GO:0017111	nucleoside-triphosphatase activity	159	1	1.57	0.95210
139	GO:0017076	purine nucleotide binding	1300	7	12.87	0.95362
140	GO:0015036	disulfide oxidoreductase activity	54	1	0.53	0.95524
141	GO:0016788	hydrolase activity, acting on ester bond...	298	1	2.95	0.95816
142	GO:0005515	protein binding	1574	8	15.58	0.95941
143	GO:0016740	transferase activity	1769	14	17.51	0.96107
144	GO:0004672	protein kinase activity	776	5	7.68	0.96354
145	GO:0008324	cation transmembrane transporter activit...	116	1	1.15	0.96550
146	GO:0016772	transferase activity, transferring phosp...	1017	5	10.07	0.97258
147	GO:0016818	hydrolase activity, acting on acid anhyd...	178	1	1.76	0.98343
148	GO:0008017	microtubule binding	60	1	0.59	0.98361
149	GO:0003735	structural constituent of ribosome	219	2	2.17	0.98888
150	GO:0005488	binding	4719	37	46.72	0.98965
151	GO:0043168	anion binding	1407	7	13.93	0.99316
152	GO:0008270	zinc ion binding	483	2	4.78	0.99882
153	GO:0008308	voltage-gated anion channel activity	11	1	0.11	1.00000
154	GO:0004144	diacylglycerol O-acyltransferase activit...	4	1	0.04	1.00000
155	GO:0015299	solute:proton antiporter activity	14	1	0.14	1.00000
156	GO:0003674	molecular_function	8080	80	80	1.00000
157	GO:0003854	3-beta-hydroxy-delta5-steroid dehydrogen...	22	1	0.22	1.00000
158	GO:0051536	iron-sulfur cluster binding	51	4	0.5	1.00000
159	GO:0015267	channel activity	47	1	0.47	1.00000
160	GO:0020037	heme binding	197	7	1.95	1.00000
